TVA,android,androidTV,chiclet,fireTV,iOS,tvOS,web,chromecast,Playback Hours
8455700606106472,0,0,0-0,8.8.0.34004,8.8.0.34004,0,0,0,17.46
8455700510570037,0,0,0-0,8.8.0.34004,0,0,0,0,20.81
8455700620975381,8.8.0.34004,0,8.8.0.34005-20210518,0,0,0,0,0,39.83
8455800510047703,0,0,0-0,0,0,8.8.0.34004,0,0,47.01
8455800601570852,0,0,8.9.0.36063-20210518,8.8.0.34004,8.8.0.34004,8.9.0.36030,0,0,31.49
8455700625353758,8.9.0.36064,0,8.9.0.36065-20210518,0,0,0,0,0,3.16
8455700600491821,0,8.8.0.34004,0-0,0,8.8.0.34004,0,0,0,0.4
8455100665672219,0,0,8.9.0.36065-20210518,0,0,0,0,0,26.11
8455800603118635,0,0,8.8.0.34005-20200615,8.9.0.36064,8.9.0.36030,0,0,0,6.41
8455700502285966,0,0,8.9.0.36065-20210224,0,8.8.0.34004,8.8.0.34004,8.8.2,0,11.66
8455800500154576,0,0,0-0,0,0,0,0,0,0.0
8455700601001611,8.8.0.34004,0,0-0,0,8.8.0.34004,0,8.8.2,8.6.182,0.9
22222222222222222,0,0,0-0,0,0,0,0,0,0.0
8455700513241388,0,0,0-0,0,8.9.0.36030,0,0,0,1.0
8455700500176571,0,0,0-0,0,8.9.0.36030,8.6.1.30853,0,0,1.33
8455700601733247,0,0,0-0,0,8.9.0.36030,0,0,0,101.84
8455700510158742,0,8.9.0.36064,8.9.0.36065-20210224,0,0,8.9.0.36030,0,0,2.58
8455700602268656,8.8.0.34004,0,0-0,0,8.8.0.34004,0,8.8.2,0,3.32
8455700515310611,0,0,0-0,0,0,0,0,0,0.0
fibreop_5067382826,0,0,0-0,0,0,0,0,0,0.0
8455800510454339,0,0,8.8.0.34005-20210518,0,8.8.0.34004,8.8.0.34004,0,0,11.41
8455700628520601,0,0,0-0,0,8.8.0.34004,8.8.0.34004,8.8.2,8.6.182,7.18
8455700606476719,8.9.0.36069,8.9.0.36069,8.9.0.36200-20210609,8.9.0.36071,8.11.0.40059,8.11.0.40065,8.8.2,8.6.182,72.68
8455800602429843,0,0,8.9.0.36065-20210518,0,8.9.0.36030,0,0,0,21.43
8455700604973881,0,0,0-0,0,8.8.0.34004,0,0,0,3.35
fibreop_9028643670,0,0,8.9.0.36065-20210518,0,0,8.8.0.34004,0,0,75.28
3333333333,0,0,0-0,0,0,0,0,0,0.0
8455800500141078,0,0,0-0,0,0,0,8.8.2,0,0.0
8455800510154012,0,0,8.9.0.36063-20210518,0,0,8.9.0.36030,0,0,22.11
8455800601938398,8.9.0.36064,8.9.0.36064,8.9.0.36065-20210518,0,0,8.9.0.36030,0,0,18.3
8455800510234848,0,8.9.0.36064,8.9.0.36065-20210518,0,8.8.0.34004,8.8.0.34004,0,0,8.05
8455700512475896,0,0,0-0,0,8.9.0.36030,0,0,0,1.81
8455800500119405,0,0,8.9.0.36065-20210518,0,0,0,0,0,0.0
8455700501356479,0,0,0-0,0,0,0,0,0,0.0
8455700500354533,0,0,0-0,0,8.9.0.36030,0,0,0,0.0
8455700622984555,0,0,0-0,0,0,0,0,0,0.0
fibreop_5068699819,0,0,0-0,0,0,8.9.0.36030,8.8.2,0,1.59
8455700605704582,0,0,8.9.0.36051-20210518,0,8.9.0.36030,0,0,0,0.17
8455700607349147,0,0,0-0,0,8.9.0.36030,0,8.8.2,8.6.182,4.64
8455100602321821,0,0,8.9.0.36065-20210518,0,8.8.0.34004,0,0,0,2.63
8455800601920503,0,0,8.9.0.36065-20210518,0,8.8.0.34004,8.8.0.34004,0,0,13.3
8455700510306176,0,0,8.9.0.36065-20210518,0,8.9.0.36030,0,0,0,45.49
8455800601717560,0,0,8.9.0.36065-20210518,0,8.8.0.34004,8.8.0.34004,8.8.2,0,9.58
8455800601094994,8.8.0.34004,8.8.0.34004,8.8.0.34005-20210518,0,8.8.0.34004,8.8.0.34004,0,0,89.92
8455700603176486,0,0,0-0,0,8.8.0.34004,0,0,0,0.0
8455800510000074,0,0,0-0,0,8.11.0.40061,8.8.0.34004,0,0,81.26
8455800602429108,0,0,0-0,0,0,0,0,0,0.0
fibreop_5057382826,0,0,0-0,0,0,0,0,0,0.0
8455700606368940,8.9.0.36064,8.9.0.36064,8.9.0.36065-20210518,0,0,0,0,0,56.75
8455700625682602,8.9.0.36064,8.9.0.36064,8.9.0.36065-20210518,8.8.0.34004,0,0,0,0,73.65
845570060103878,0,0,0-0,0,0,0,0,0,0.0
8455800600993360,0,8.9.0.36064,0-0,0,0,0,0,0,0.0
8455700600057689,0,8.9.0.36064,0-0,0,0,0,0,0,0.0
8455700602314039,8.9.0.36064,0,0-0,0,0,0,0,0,0.6
8455700510543786,8.9.0.36064,0,8.9.0.36070-20210518,0,8.11.0.40056,0,8.8.2,0,101.45
fibreop_5064553783,0,0,0-0,8.9.0.36064,0,0,0,0,8.99
8455800500048943,8.9.0.36064,0,8.9.0.36065-20210518,0,0,0,0,0,14.28
8455700606512778,0,0,8.9.0.36065-20210518,8.8.0.34004,0,0,0,0,18.91
8455700600129124,8.9.0.36064,0,0-0,8.9.0.36064,8.9.0.36030,0,8.8.2,8.6.182,2.97
fibreop_5068491070,0,8.9.0.36064,0-0,0,0,0,0,0,0.0
8455800601459361,8.9.0.36064,8.9.0.36064,8.9.0.36065-20210518,0,0,0,0,0,8.36
8455100645767451,8.9.0.36064,8.9.0.36064,8.9.0.36065-20210518,0,0,0,8.8.2,0,21.86
8455700502592080,8.9.0.36064,0,0-0,8.9.0.36064,0,0,0,0,32.09
8455700512154400,8.8.0.34004,0,0-0,0,0,0,0,0,0.75
8455800600440834,0,8.8.0.34004,0-0,0,0,0,8.8.2,0,18.02
8455800510239300,8.9.0.36064,0,8.9.0.36065-20210518,8.8.0.34004,0,0,0,0,42.46
8455800510441435,0,0,8.9.0.36065-20210518,0,0,0,0,0,2.2
8455100606126895,0,0,8.9.0.36065-20210518,0,0,0,0,0,0.0
8455800510049014,8.9.0.36064,8.8.0.34004,0-0,0,8.8.0.34004,0,8.8.2,0,15.41
8455800510243930,8.9.0.36064,0,8.9.0.36065-20210518,8.8.0.34004,0,0,0,0,43.07
8455800510349380,0,0,8.9.0.36065-20210518,0,0,0,0,0,4.19
8455700607496773,0,0,0-0,0,8.9.0.36030,8.9.0.36030,0,0,16.85
8455700516136320,0,0,8.8.0.34005-20200318,0,0,0,0,0,2.07
8455700608313274,0,0,0-0,0,8.9.0.36030,8.8.0.34004,0,0,12.83
8455800603168903,0,0,0-0,0,8.9.0.36030,8.8.0.34004,8.9.20,0,9.37
8455700500043517,0,0,0-0,0,0,0,0,0,0.0
8455100501501895,0,0,8.9.0.36065-20210518,8.9.0.36064,0,0,0,0,0.0
8455800603443421,0,8.8.0.34004,0-0,0,8.9.0.36030,0,0,8.6.182,7.08
8455100643437685,0,0,8.9.0.36065-20210518,8.9.0.36064,0,0,0,0,14.18
8455800500281254,8.11.0.40069,0,8.9.0.36065-20210518,0,0,0,0,0,0.0
8455700603000264,0,8.9.0.36064,8.9.0.36065-20210518,0,8.9.0.36030,0,8.8.2,0,13.16
fibreop_5068557675,8.9.0.36064,0,0-0,0,0,0,0,0,0.2
8455800601968577,0,8.9.0.36064,8.9.0.36065-20210518,0,0,0,0,0,2.29
8455700600011926,0,0,8.9.0.36065-20210518,0,8.9.0.36030,0,8.8.2,0,19.88
fibreop_5068472928,0,0,0-0,0,0,0,0,0,0.0
8455800510334481,0,0,8.9.0.36065-20210202,0,8.11.0.40065,8.11.0.40065,8.8.2,0,15.58
8455700534724010,0,0,0-0,0,0,0,0,0,0.0
8455700602256149,0,8.9.0.36064,0-0,0,0,0,0,0,0.0
8455700621419652,0,0,8.9.0.36065-20210518,0,0,0,0,0,0.25
8455800603051703,0,0,8.9.0.36065-20210518,0,8.8.0.34004,0,0,8.6.182,6.03
8455700601403262,8.9.0.36064,0,0-0,8.8.0.34004,0,0,0,0,0.0
8455800500000647,8.9.0.36064,0,0-0,8.8.0.34004,0,8.8.0.34004,0,0,73.5
volt_1000001001019314,0,0,0-0,0,8.9.0.36030,8.9.0.36030,8.8.2,0,1.62
8455800600750513,0,8.5.3.30351,8.9.0.36065-20210518,0,8.8.0.34004,0,0,0,13.69
8455800601413798,0,0,8.9.0.36065-20210518,0,0,0,0,0,38.45
8455800510525492,0,0,8.9.0.36065-20210518,8.8.0.34004,8.8.0.34004,0,0,8.6.182,53.24
8455700510480518,8.9.0.36059,0,0-0,8.8.0.34004,0,0,0,0,3.54
8455800510546046,0,0,0-0,0,0,0,0,0,0.0
8455700606852166,8.9.0.36064,8.9.0.36064,0-0,8.8.0.34004,8.8.0.34004,0,0,0,3.86
8455700501356487,8.9.0.36064,8.9.0.36064,8.9.0.36065-20210518,8.8.0.34004,8.8.0.34004,8.8.0.34004,8.8.2,0,162.8
8455800500216334,0,0,8.9.0.36065-20210518,0,0,0,0,0,30.86
8455800602055192,8.9.0.36064,8.9.0.36064,8.9.0.36065-20210518,0,8.9.0.36030,0,0,0,9.94
8455700603581503,8.9.0.36064,8.9.0.36064,0-0,0,0,0,0,0,4.89
8455100648881260,0,0,0-0,0,0,0,0,0,0.0
8455100620810060,0,0,0-0,8.8.0.34004,8.9.0.36030,0,0,0,0.11
4444444444444,0,0,0-0,0,0,0,0,0,0.0
8455700603348234,8.9.0.36059,0,8.9.0.36065-20210518,0,8.9.0.36000,0,0,8.6.182,44.47
8455100624299575,0,0,0-0,0,0,0,0,0,0.0
8455700626290363,0,0,0-0,0,8.9.0.36030,0,8.8.2,0,0.0
volt_1000001001001140,8.9.0.36064,8.11.0.40082,0-0,8.10.0.38021,8.10.0.38022,8.10.0.38019,0,8.6.182,0.09
8455700600099293,0,0,0-0,0,0,0,8.8.2,0,0.0
8455800602169977,0,0,0-0,0,0,0,0,0,0.0
8455700602318717,0,8.8.0.34004,0-0,8.8.0.34004,8.9.0.36030,0,0,0,0.42
8455700623067574,8.9.0.36064,8.9.0.36064,8.9.0.36065-20210518,8.8.0.34004,8.9.0.36030,8.8.0.34004,8.8.2,8.6.182,88.34
8455800500262700,8.9.0.36064,0,0-0,0,0,0,0,8.6.182,0.0
fibreop_9024610369,0,0,8.9.0.36065-20210518,0,0,0,0,0,5.27
8455800600363739,0,0,8.9.0.36065-20210518,0,8.9.0.36030,0,0,0,32.87
8455700600089302,0,8.9.0.36064,0-0,0,0,0,0,0,0.0
8455800600000133,0,0,0-0,0,0,0,0,0,0.0
8455800603178001,0,0,8.9.0.36065-20210224,0,8.3.1.28167,0,8.8.2,0,2.17
8455800600000877,8.8.0.34004,8.9.0.36064,8.9.0.36065-20210518,8.8.0.34004,8.8.0.34004,8.8.0.34004,8.8.2,8.6.182,68.92
8455800510307883,0,8.9.0.36064,8.9.0.36065-20210518,0,8.8.0.34004,8.8.0.34004,8.8.2,0,9.22
8455800600046797,0,0,8.9.0.36065-20210518,0,0,0,0,0,0.52
fibreop_9028329175,0,0,8.9.0.36063-20201021,0,8.8.0.34004,0,0,0,141.56
,0,0,0-0,0,0,0,0,0,0.0
