TVA,android,androidTV,chiclet,fireTV,iOS,tvOS,web,chromecast,Playback Hours
8455100643437685,0,0,8.9.0.36063-20210518,8.9.0.36059,0,0,0,0,27.85
8455800500281254,8.11.0.40069,0,8.9.0.36063-20210518,0,0,0,8.8.2,0,0.0
8455700603000264,0,8.9.0.36059,8.9.0.36063-20210518,0,8.9.0.36030,0,8.8.2,0,13.73
fibreop_5068557675,8.9.0.36059,0,0-0,0,0,0,0,0,0.11
8455800601968577,0,8.9.0.36059,8.9.0.36065-20210518,0,0,0,0,0,3.06
8455700600011926,0,0,8.9.0.36063-20210518,8.9.0.36064,8.9.0.36030,0,0,0,13.19
fibreop_5068472928,0,0,0-0,8.9.0.36064,0,0,0,0,0.0
8455800510334481,0,0,0-0,0,8.11.0.40056,8.11.0.40059,0,0,17.13
8455700534724010,0,0,0-0,0,0,0,0,0,0.0
8455700602256149,0,8.8.0.34004,0-0,0,0,0,0,0,0.0
8455700621419652,8.9.0.36059,0,8.9.0.36065-20210518,0,8.8.0.34004,0,0,0,5.17
8455800603051703,0,0,8.9.0.36065-20210518,0,0,0,0,0,2.67
8455700601403262,0,0,0-0,0,0,0,8.8.2,0,0.0
8455800500000647,0,0,0-0,8.8.0.34004,0,8.8.0.34004,0,0,75.05
volt_1000001001019314,0,0,0-0,0,8.9.0.36030,8.9.0.36030,0,8.6.182,4.66
8455800600750513,0,8.5.3.30351,8.9.0.36063-20210518,0,8.8.0.34004,0,0,0,19.91
8455800601413798,0,0,8.9.0.36063-20210518,0,8.9.0.36030,0,0,0,24.72
8455800510525492,0,0,8.9.0.36063-20210518,0,8.8.0.34004,0,0,8.6.182,5.66
8455700510480518,8.9.0.36059,0,0-0,8.8.0.34004,0,0,0,0,8.54
8455800510546046,0,0,0-0,0,0,0,0,0,0.0
8455700606852166,0,8.9.0.36059,0-0,8.8.0.34004,8.8.0.34004,0,0,8.6.182,9.6
8455700501356487,8.9.0.36059,8.9.0.36059,8.9.0.36063-20210518,8.8.0.34004,8.8.0.34004,8.8.0.34004,8.8.2,0,198.79
8455800500216334,0,0,8.9.0.36065-20210518,0,0,0,0,0,23.48
8455800602055192,8.9.0.36059,8.9.0.36059,8.9.0.36065-20210518,0,8.9.0.36030,0,0,0,13.04
8455700603581503,8.9.0.36059,8.9.0.36059,0-0,0,0,0,0,8.6.182,8.7
8455100648881260,0,0,0-0,0,0,0,0,0,0.0
8455100620810060,0,0,0-0,0,8.9.0.36021,8.9.0.36030,0,0,1.04
4444444444444,0,0,0-0,0,0,0,0,0,0.0
8455700603348234,8.9.0.36050,0,8.9.0.36063-20210518,0,8.9.0.36000,0,8.8.2,8.6.182,81.58
8455100624299575,0,0,0-0,0,0,0,0,0,0.0
8455700626290363,8.8.0.34004,8.9.0.36059,0-0,0,8.8.0.34004,0,8.8.2,0,2.01
volt_1000001001001140,8.9.0.36064,8.10.0.38011,0-0,8.10.0.38011,8.11.0.40052,0,8.9.20,8.6.182,0.1
8455700600099293,8.8.0.34004,0,0-0,0,8.8.0.34004,0,0,0,1.81
8455800602169977,0,0,0-0,0,0,0,0,0,0.0
8455700602318717,0,8.8.0.34004,0-0,8.8.0.34004,0,0,8.8.2,0,12.49
8455700623067574,8.9.0.36059,8.9.0.36059,8.9.0.36065-20210518,8.8.0.34004,8.11.0.40056,8.6.1.30853,8.9.20,8.6.182,72.06
8455800500262700,8.9.0.36059,0,0-0,0,0,0,0,8.6.182,0.02
fibreop_9024610369,0,0,8.9.0.36051-20210414,0,0,0,0,0,6.45
8455800600363739,0,0,8.9.0.36063-20210518,0,8.9.0.36030,0,0,0,39.12
8455700600089302,0,8.9.0.36059,8.9.0.36063-20210518,0,8.9.0.36030,0,0,0,0.0
8455800600000133,0,0,0-0,0,8.9.0.36030,0,0,0,0.0
8455800603178001,0,0,8.9.0.36063-20210224,0,8.6.1.30853,0,8.9.20,8.6.182,3.02
8455800600000877,8.8.0.34004,8.9.0.36059,8.9.0.36063-20210518,8.8.0.34004,8.8.0.34004,8.8.0.34004,8.8.2,8.6.182,62.88
8455800510307883,0,8.9.0.36059,8.9.0.36063-20210518,0,8.8.0.34004,8.8.0.34004,0,0,4.07
8455800600046797,0,0,8.9.0.36063-20210518,0,0,0,0,0,4.57
fibreop_9028329175,0,0,8.9.0.36063-20201021,0,8.8.0.34004,0,8.8.2,0,0.41
,0,0,0-0,0,0,0,0,0,0.0
